nl,code
"if bits is false,",if not bits :
return an empty dictionary.,return { }
"call the method kwarg_re.match with an argument first element of bits, substitute the result for match.",match = kwarg_re . match ( bits [ 0 ] )
"if match is true and call to the method match.group with an argument integer 1 evaluates to true, kwarg_format is boolean True,",kwarg_format = match and match . group ( 1 )
"otherwise it is boolean False. if kwarg_format is false,",if not kwarg_format :
"if support_legacy is false,",if not support_legacy :
return an empty dictionary.,return { }
"if length of bits is lesser than integer 3 or second element of bits is not equal to string 'as',",if len ( bits ) < 3 or bits [ 1 ] != 'as' :
return an empty dictionary.,return { }
"kwargs is an empty dictionary,",kwargs = { }
"while bits is true,",while bits :
"if kwarg_format is true,",if kwarg_format :
"call the method kwarg_re.match with an argument first element of bits, substitute the result for match.",match = kwarg_re . match ( bits [ 0 ] )
"if match is false or call to the method match.group with an argument integer 1 evaluates to boolean false,",if not match or not match . group ( 1 ) :
return kwargs.,return kwargs
call the method match.groups with 2 arguments: key and value.,"key , value = match . groups ( )"
delete first element of bits.,del bits [ : 1 ]
"if not,",else :
"if length of bits is lesser than integer 3 or second element of bits is not equal to string 'as',",if len ( bits ) < 3 or bits [ 1 ] != 'as' :
return kwargs.,return kwargs
"substitute third and first element of bits for key and value, respectively.","key , value = bits [ 2 ] , bits [ 0 ]"
delete first 3 elements of bits.,del bits [ : 3 ]
"call the method parser.compile_filter with an argument value, substitute the result for value under the key key of kwargs dictionary.",kwargs [ key ] = parser . compile_filter ( value )
"if bits is true and kwarg_format is false,",if bits and not kwarg_format :
"if first element of bits is not equal to string 'and',",if bits [ 0 ] != 'and' :
return kwargs.,return kwargs
delete first element of bits.,del bits [ : 1 ]
return kwargs.,return kwargs
"define the function parse_bits with 8 arguments: parser, bits, params, varargs, varkw, defaults, takes_context and name.","def parse_bits ( parser , bits , params , varargs , varkw , defaults , takes_context , name ) :"
"if takes_context is true,",if takes_context :
"if first element of params equals a string 'context',",if params [ 0 ] == 'context' :
substitute params without the first element for params.,params = params [ 1 : ]
"if not,",else :
"raise an TemplateSyntaxError exception ""'%s' is decorated with takes_context=True so it must have a first argument of 'context'"",","raise TemplateSyntaxError ( ""'%s' is decorated with takes_context=True so it must "" ""have a first argument of 'context'"" % name )"
where '%s' is replaced with name. args is an empty list.,args = [ ]
kwargs is an empty dictionary.,kwargs = { }
"convert params into a list, substitute it for unhandled_params.",unhandled_params = list ( params )
"for every bit in bits,",for bit in bits :
call the function,"kwarg = token_kwargs ( [ bit ] , parser )"
"if kwarg is true,",if kwarg :
"call the method six.iteritems with an argument kwarg, convert the result into a list,","param , value = list ( six . iteritems ( kwarg ) ) [ 0 ]"
"substitute first element of the result for param and value. if param is not in params and varkw is None,",if param not in params and varkw is None :
"raise an TemplateSyntaxError exception with an argument ""'%s' received unexpected keyword argument '%s'"",","raise TemplateSyntaxError ( ""'%s' received unexpected keyword argument '%s'"" % ( name , param ) )"
"where '%s' are replaced with name and param. otherwise if param is contained in kwargs,",elif param in kwargs :
"raise an TemplateSyntaxError exception with an argument string ""'%s' received multiple values for keyword argument '%s'"",","raise TemplateSyntaxError ( ""'%s' received multiple values for keyword argument '%s'"" % ( name , param ) )"
"where '%s' are replaced with name and param. if not,",else :
"convert param to a string, use it as a key to get the value from kwargs dictionary, assign it value.",kwargs [ str ( param ) ] = value
"if param is contained in unhandled_params,",if param in unhandled_params :
call the method unhandled_params.remove with an argument param.,unhandled_params . remove ( param )
"if not,",else :
"if kwargs is true,",if kwargs :
"raise an TemplateSyntaxError exception with an argument string ""'%s' received some positional argument(s) after some keyword argument(s)"", where '%s' is replaced with name.","raise TemplateSyntaxError ( ""'%s' received some positional argument(s) after some "" ""keyword argument(s)"" % name )"
"if not,",else :
"call the method parser.compile_filter with an argument bit, append the result to args.",args . append ( parser . compile_filter ( bit ) )
"try,",try :
remove first element of unhandled_params.,unhandled_params . pop ( 0 )
"if IndexError exception is caught,",except IndexError :
"if varargs is None,",if varargs is None :
"raise an TemplateSyntaxError exception with an argument string ""'%s' received too many positional arguments"",","raise TemplateSyntaxError ( ""'%s' received too many positional arguments"" % name )"
"where '%s' is replaced with name. if defaults is not None,",if defaults is not None :
"slice list unhandled_params from the beginning to the length of defaults last element,",unhandled_params = unhandled_params [ : - len ( defaults ) ]
"if unhandled_params is true,",if unhandled_params :
raise TemplateSyntaxError(,"raise TemplateSyntaxError ( ""'%s' did not receive value(s) for the argument(s): %s"" % ( name , "", "" . join ( ""'%s'"" % p for p in unhandled_params ) ) )"
return args and kwargs.,"return args , kwargs"
"define the method generic_tag_compiler with 9 arguments: parser, token, params, varargs, varkw, defaults, name, takes_context,","def generic_tag_compiler ( parser , token , params , varargs , varkw , defaults , name , takes_context , node_class ) :"
"call the function token.split_contents, substitute the result without the first element for bits.",bits = token . split_contents ( ) [ 1 : ]
"call the method parse_bits with 8 arguments: parser, bits, params, varargs, varkw, defaults, takes_context and name,","args , kwargs = parse_bits ( parser , bits , params , varargs , varkw , defaults , takes_context , name )"
"substitute the result for args and kwargs, respectively. call the function node_class with 3 arguments: takes_context, args and kwargs.","return node_class ( takes_context , args , kwargs )"
derive the class TagHelperNode form the base class Node.,class TagHelperNode ( Node ) :
"define the method __init__ with 4 arguments: self, takes_context, args and kwargs.","def __init__ ( self , takes_context , args , kwargs ) :"
substitute takes_context for self.takes_context.,self . takes_context = takes_context
substitute args for self.args.,self . args = args
substitute kwargs for self.kwargs.,self . kwargs = kwargs
define the method get_resolved_arguments with 2 arguments: self and context.,"def get_resolved_arguments ( self , context ) :"
"resolved_args is an list with elements, return value of the method var.resolve with an argument context, for every var in self.args.",resolved_args = [ var . resolve ( context ) for var in self . args ]
"if self.takes_context is true,",if self . takes_context :
"append resolved_args to a list containing context element, substitute it for resolved_args.",resolved_args = [ context ] + resolved_args
"resolved_kwargs is dictionary with elements: return value of the method v.resolve called with an argument context, for k,","resolved_kwargs = dict ( ( k , v . resolve ( context ) ) for k , v in self . kwargs . items ( ) )"
for every k and v in return value of the method self.kwargs.items. return resolved_args and resolved_kwargs.,"return resolved_args , resolved_kwargs"
derive the class Library form the base class object.,class Library ( object ) :
define the method with reload with an argument self.,def __init__ ( self ) :
self.filters is an empty dictionary.,self . filters = { }
self.tags is an empty dictionary.,self . tags = { }
"define the method tag with 3 arguments: self, name set to None and compile_function set to None.","def tag ( self , name = None , compile_function = None ) :"
"if name is None and compile_function is None,",if name is None and compile_function is None :
return self.tag_function.,return self . tag_function
"otherwise if name is not None and compile_function is None,",elif name is not None and compile_function is None :
"if name is callable object,",if callable ( name ) :
"call the method self.tag_function with an argument name, return the result.",return self . tag_function ( name )
"if not,",else :
"define the function dec with an argument func,",def dec ( func ) :
"call the method self.tag with 2 arguments name and func, return the result.","return self . tag ( name , func )"
return dec.,return dec
"otherwise if name is not None and compile_function is not None,",elif name is not None and compile_function is not None :
substitute compile_function for self.tags dictionary value under the name key.,self . tags [ name ] = compile_function
return compile_function.,return compile_function
"if not,",else :
"raise an InvalidTemplateLibrary exception with an argument string ""Unsupported arguments to Library.tag: (%r, %r)"",","raise InvalidTemplateLibrary ( ""Unsupported arguments to "" ""Library.tag: (%r, %r)"" , ( name , compile_function ) )"
substitute '%r' with name and compile_function. define the method tag_function with 2 argument: self and func.,"def tag_function ( self , func ) :"
"get ""_decorated_function"" attribute from func, return func if the attribute doesnt exists,","self . tags [ getattr ( func , ""_decorated_function"" , func ) . __name__ ] = func"
"use its __name__ field as a key to get the value from self.tags, assign func to it. return func.",return func
"define the method filter with 4 arguments: self, name set to None, filter_func set to None and unpacked dictionary flags.","def filter ( self , name = None , filter_func = None , ** flags ) :"
"if name is None and filter_func is None,",if name is None and filter_func is None :
"define the function dec with an argument func,",def dec ( func ) :
"call the method self.filter_function with 2 arguments func and unpacked dictionary flags, return the result.","return self . filter_function ( func , ** flags )"
return dec.,return dec
"otherwise if name is not None and filter_func is None,",elif name is not None and filter_func is None :
"if name is callable object,",if callable ( name ) :
"call the method self.filter_function with arguments name and unpacked dictionary flags, return the result.","return self . filter_function ( name , ** flags )"
"if not,",else :
"define the function dec with an argument func,",def dec ( func ) :
"call the method self.filter with 3 arguments: name, func and unpacked dictionary flags, return the result.","return self . filter ( name , func , ** flags )"
return dec.,return dec
"otherwise if name is not None and filter_func is not None,",elif name is not None and filter_func is not None :
substitute filter_func for value under the name key of self.filters dictionary.,self . filters [ name ] = filter_func
"for every attr in tuple with 3 arguments: strings 'expects_localtime', 'is_safe' and 'needs_autoescape',","for attr in ( 'expects_localtime' , 'is_safe' , 'needs_autoescape' ) :"
"if attr is contained in flags,",if attr in flags :
substitute value under the attr key of flags dictionary for value.,value = flags [ attr ]
set filter_func objec attr attribute to value.,"setattr ( filter_func , attr , value )"
"if filter_func has an attribute ""_decorated_function"",","if hasattr ( filter_func , ""_decorated_function"" ) :"
set filter_func._decorated_function objects attr attribute to value.,"setattr ( filter_func . _decorated_function , attr , value )"
substitute name for filter_func._filter_name.,filter_func . _filter_name = name
return filter_func.,return filter_func
"if not,",else :
"raise an InvalidTemplateLibrary exception with an argument string (""Unsupported arguments to Library.filter: (%r, %r)"",","raise InvalidTemplateLibrary ( ""Unsupported arguments to "" ""Library.filter: (%r, %r)"" , ( name , filter_func ) )"
"where '%r' is replaced with name and filter_func, respectively. define the method filter_function with 3 arguments: self, func and unpacked dictionary flags.","def filter_function ( self , func , ** flags ) :"
"get ""_decorated_function"" attribute from func object, if it exists substitute __name__ field of the result for name,","name = getattr ( func , ""_decorated_function"" , func ) . __name__"
"if not, substitute func.__name__ for name. call the method self.filter with 3 arguments: name, func and unpacked dictionary flags.","return self . filter ( name , func , ** flags )"
"define the method simple_tag with 4 arguments: self, func and None, takes_context and None and name set to None.","def simple_tag ( self , func = None , takes_context = None , name = None ) :"
define the function dec with an argument func.,def dec ( func ) :
"call the function getargspec with an argument func, substitute the result for params, varargs, varkw and defaults, respectively.","params , varargs , varkw , defaults = getargspec ( func )"
derive the class SimpleNode form the base class TagHelperNode.,class SimpleNode ( TagHelperNode ) :
define the method render with 2 arguments self and context.,"def render ( self , context ) :"
"call the method self.get_resolved_arguments with an argument context, substitute the result for resolved_args and resolved_kwargs.","resolved_args , resolved_kwargs = self . get_resolved_arguments ( context )"
"call the function func with 2 arguments: unpacked list resolved_args and unpacked dictionary resolved_kwargs, return it.","return func ( * resolved_args , ** resolved_kwargs )"
"if name is true, substitute it for function_name, if not get attribute '_decorated_function' from func object,","function_name = ( name or getattr ( func , '_decorated_function' , func ) . __name__ )"
"substitute its __name__ field for function name, if it doesnt exists substitute func.__name__ for function_name. call the function generic_tag_compiler, params set to params, varargs set to varargs, varkw set to varkw, defaults set to defaults,","compile_func = partial ( generic_tag_compiler , params = params , varargs = varargs , varkw = varkw , defaults = defaults , name = function_name , takes_context = takes_context , node_class = SimpleNode )"
"name set to function_name, and takes_context set to takes_context and node_class set to SimpleNode. substitute func.__doc__ for compile_func.__doc__.",compile_func . __doc__ = func . __doc__
call the method self.tag with 2 arguments: function_name and compile_func.,"self . tag ( function_name , compile_func )"
return func.,return func
"if func is None,",if func is None :
return dec.,return dec
"otherwise if func is callable object,",elif callable ( func ) :
"call the function dec with an argument func, return the result.",return dec ( func )
"if not,",else :
"raise an TemplateSyntaxError exception with an argument string ""Invalid arguments provided to simple_tag"".","raise TemplateSyntaxError ( ""Invalid arguments provided to simple_tag"" )"
"define the method assignment_tag with 4 arguments: self, func set to None, takes_context set to None and name set to None.","def assignment_tag ( self , func = None , takes_context = None , name = None ) :"
define the function dec with an argument func.,def dec ( func ) :
"call the function getargspec with an argument func, substitute the result for params, varargs, varkw and defaults.","params , varargs , varkw , defaults = getargspec ( func )"
derive the class AssignmentNode form the base class TagHelperNode.,class AssignmentNode ( TagHelperNode ) :
"define the function __init__ with 5 arguments: self, takes_context, args, kwargs and target_var.","def __init__ ( self , takes_context , args , kwargs , target_var ) :"
"call the method __init__ from the base class of the class AssignmentNode, with 3 arguments: takes_context, args and kwargs.","super ( AssignmentNode , self ) . __init__ ( takes_context , args , kwargs )"
substitute target_var for self.target_var.,self . target_var = target_var
define the method render with 2 arguments self and context.,"def render ( self , context ) :"
"call the method self.get_resolved_arguments with an argument context, substitute the result for resolved_args and resolved_kwargs.","resolved_args , resolved_kwargs = self . get_resolved_arguments ( context )"
"call the function func with 2 arguments: unpacked list resolved_args and unpacked dictionary resolved_kwargs,","context [ self . target_var ] = func ( * resolved_args , ** resolved_kwargs )"
substitute the result for value under the self.target_var key of the context dictionary. return an empty string.,return ''
"if name is true, substitute it for function_name, if not get '_decorated_function' attribute from func object, if it exists,","function_name = ( name or getattr ( func , '_decorated_function' , func ) . __name__ )"
"substitute __name__ field of the result for function_name, in not, substitute func.__name__ for function_name. define the function compile_func with 2 arguments: parser and token.","def compile_func ( parser , token ) :"
"call the function token.split_contents, substitute the result without the first element for bits.",bits = token . split_contents ( ) [ 1 : ]
"if length of bits is smaller than integer 2 or second last element of bits is not equal to 'as',",if len ( bits ) < 2 or bits [ - 2 ] != 'as' :
"raise an TemplateSyntaxError exception with an argument string, ""'%s' tag takes at least 2 arguments and the second last argument","raise TemplateSyntaxError ( ""'%s' tag takes at least 2 arguments and the "" ""second last argument must be 'as'"" % function_name )"
"must be 'as'"", where '%s' is replaced with function_name. substitute last element of bits for target_var.",target_var = bits [ - 1 ]
substitute bits without last two elements for bits.,bits = bits [ : - 2 ]
"call the function parse_bits with 8 arguments: parser, bits, params, varargs, varkw, defaults, takes_context and function_name,","args , kwargs = parse_bits ( parser , bits , params , varargs , varkw , defaults , takes_context , function_name )"
"substitute the result for args and kwargs. return an instance of AssignmentNode class created with 4 arguments: takes_context, args, kwargs and target_var.","return AssignmentNode ( takes_context , args , kwargs , target_var )"
substitute func.__doc__ for compile_func.__doc__.,compile_func . __doc__ = func . __doc__
call the method self.tag with 2 arguments: function_name and compile_func.,"self . tag ( function_name , compile_func )"
return func.,return func
"if func is None,",if func is None :
return dec.,return dec
"otherwise if func is callable,",elif callable ( func ) :
"call the function dec with an argument func, return the result.",return dec ( func )
"if not,",else :
"raise an TemplateSyntaxError exception with an argument string ""Invalid arguments provided to assignment_tag"".","raise TemplateSyntaxError ( ""Invalid arguments provided to assignment_tag"" )"
"define the method inclusion_tag with 5 arguments: self, file_name, context_class set to Context, takes_context set to boolean False,","def inclusion_tag ( self , file_name , context_class = Context , takes_context = False , name = None ) :"
and name set to None. define the function dec with an argument func.,def dec ( func ) :
"call the function getargspec with an argument func, substitute the result for params, varargs, varkw and defaults.","params , varargs , varkw , defaults = getargspec ( func )"
derive the class InclusionNode form the base class TagHelperNode.,class InclusionNode ( TagHelperNode ) :
define the method render with 2 arguments: self and context.,"def render ( self , context ) :"
"call the method self.get_resolved_arguments with context as an argument, substitute the result for resolved_args and resolved_kwargs.","resolved_args , resolved_kwargs = self . get_resolved_arguments ( context )"
"call the function func with 2 arguments: unpacked list resolved_args and unpacked dictionary resolved_kwargs, substitute the result for _dict.","_dict = func ( * resolved_args , ** resolved_kwargs )"
"get 'nodelist' attribute from self object. if it doesnt exists return boolean False, if the result evaluates to false,","if not getattr ( self , 'nodelist' , False ) :"
"from django.template.loader import get_template, select_template.","from django . template . loader import get_template , select_template"
if file_name is an instance of Template class.,"if isinstance ( file_name , Template ) :"
substitute file_name for t.,t = file_name
"otherwise if file_name is not an instance of six.string_types and call to the function is_iterable with an argument file_name,","elif not isinstance ( file_name , six . string_types ) and is_iterable ( file_name ) :"
"evaluates to true, call the function select_template with an argument file_name, substitute the result for t.",t = select_template ( file_name )
"if not,",else :
"call the function get_template with an argument file_name, substitute the result for t.",t = get_template ( file_name )
substitute t.nodelist for self.nodelist.,self . nodelist = t . nodelist
call the function context_class with 2 arguments: _dict and unpacked dictionary containing 4 entries:,"new_context = context_class ( _dict , ** { 'autoescape' : context . autoescape , 'current_app' : context . current_app , 'use_l10n' : context . use_l10n , 'use_tz' : context . use_tz , } )"
"context.autoescape for 'autoescape', context.autoescape for 'current_app', context.use_l10n for 'use_l10n', and context.use_tz for 'use_tz', substitute the result for new_context. call the function context.get with 2 argument 'csrf_token' and None, substitute the result for csrf_token.","csrf_token = context . get ( 'csrf_token' , None )"
"if csrf_token is not None,",if csrf_token is not None :
substitute csrf_token for value under the 'csrf_token' key of new_context dictionary.,new_context [ 'csrf_token' ] = csrf_token
"call the method self.nodelist.render with an argument new_context, return the result.",return self . nodelist . render ( new_context )
"if name is true, substitute it for function_name, if not get '_decorated_function' attribute from func object, if it exists,","function_name = ( name or getattr ( func , '_decorated_function' , func ) . __name__ )"
"substitute __name__ field of the result for function_name, in not, substitute func.__name__ for function_name. call the function partial with 8 arguments: generic_tag_compiler, params set to params, varargs set to varargs, varkw set to varkw,","compile_func = partial ( generic_tag_compiler , params = params , varargs = varargs , varkw = varkw , defaults = defaults , name = function_name , takes_context = takes_context , node_class = InclusionNode )"
"defaults set to defaults, name set to function_name, takes_context set to takes_context and node_class set to InclusionNode, substitute the result for compile_func. substitute func.__doc__ for compile_func.__doc__.",compile_func . __doc__ = func . __doc__
call the function self.tag with 2 arguments: function_name and compile_func.,"self . tag ( function_name , compile_func )"
return func.,return func
return dec.,return dec
define the function is_library_missing with an argument name.,def is_library_missing ( name ) :
"split string name into two parts from the right side by the separator '.', substitute parts for path and module, respectively.","path , module = name . rsplit ( '.' , 1 )"
"try,",try :
"call the function import_module with an argument path, substitute it for package.",package = import_module ( path )
"call the function module_has_submodule with 2 arguments: package and module, return inverted boolean result.","return not module_has_submodule ( package , module )"
"if ImportError exception is caught,",except ImportError :
"call the function is_library_missing with an argument path, return the result.",return is_library_missing ( path )
define the function import_library with an argument taglib_module.,def import_library ( taglib_module ) :
"try,",try :
"call the function import_module with an argument taglib_module, substitute the result for mod.",mod = import_module ( taglib_module )
"if ImportError, renamed to e, exception is caught,",except ImportError as e :
"call the function is_library_missing with an argument taglib_module, if it evaluates to true,",if is_library_missing ( taglib_module ) :
return None.,return None
"if not,",else :
"raise an InvalidTemplateLibrary exception with an argument string ""ImportError raised loading %s: %s"",","raise InvalidTemplateLibrary ( ""ImportError raised loading %s: %s"" % ( taglib_module , e ) )"
"where '%s' is replaced with taglib_module and e. try,",try :
return mod.register.,return mod . register
"if AttributeError exception is caught,",except AttributeError :
"raise an InvalidTemplateLibrary exception with an argument string ""Template library %s does not have a variable named 'register'"",","raise InvalidTemplateLibrary ( ""Template library %s does not have "" ""a variable named 'register'"" % taglib_module )"
where '%s' is replaced with taglib_module. templatetags_modules is an empty list.,templatetags_modules = [ ]
define the function get_templatetags_modules.,def get_templatetags_modules ( ) :
use global variable templatetags_modules.,global templatetags_modules
"if templatetags_modules is false,",if not templatetags_modules :
_templatetags_modules is an empty list.,_templatetags_modules = [ ]
templatetags_modules_candidates is an list with an argument string 'django.templatetags'.,templatetags_modules_candidates = [ 'django.templatetags' ]
"add string '%s.templatetags' to a list, where '%s' is replaced with app_config.name,",templatetags_modules_candidates += [ '%s.templatetags' % app_config . name for app_config in apps . get_app_configs ( ) ]
"for every app_config in result of the method apps.get_app_configs, append the resulting list to templatetags_modules_candidates. for every templatetag_module in templatetags_modules_candidates,",for templatetag_module in templatetags_modules_candidates :
"try,",try :
call the function import_module with an argument templatetag_module.,import_module ( templatetag_module )
append templatetag_module to _templatetags_modules.,_templatetags_modules . append ( templatetag_module )
"if ImportError exception is caught,",except ImportError :
skip this loop iteration.,continue
substitute _templatetags_modules for templatetags_modules.,templatetags_modules = _templatetags_modules
return templatetags_modules.,return templatetags_modules
define the function get_library with an argument library_name.,def get_library ( library_name ) :
"get the value under the library_name key of the libraries dictionary, if it exists, substitute it for lib, if not, lib is None.","lib = libraries . get ( library_name , None )"
"if lib is false,",if not lib :
"call the function get_templatetags_modules, substitute the result for templatetags_modules.",templatetags_modules = get_templatetags_modules ( )
tried_modules is an empty list.,tried_modules = [ ]
"for every module in templatetags_modules,",for module in templatetags_modules :
"taglib_module is an string '%s.%s', where '%s' is replaced to module and library_name.","taglib_module = '%s.%s' % ( module , library_name )"
append taglib_module to tried_modules.,tried_modules . append ( taglib_module )
"call the function import_library with an argument taglib_module, substitute the result for lib.",lib = import_library ( taglib_module )
"if lib is true,",if lib :
substitute lib for value under the library_name key of libraries dictionary.,libraries [ library_name ] = lib
break loop execution.,break
"if lib is false,",if not lib :
"raise an InvalidTemplateLibrary exception with an argument string ""Template library %s not found, tried %s"",","raise InvalidTemplateLibrary ( ""Template library %s not found, "" ""tried %s"" % ( library_name , ',' . join ( tried_modules ) ) )"
"where '%s' is replaced with library_name and elements of tried_modules joined into a string, separated by ','. return lib.",return lib
define the function add_to_builtins with an argument module.,def add_to_builtins ( module ) :
"call the function import_library with an argument module, append the result to builtins.",builtins . append ( import_library ( module ) )
call the function add_to_builtins with an argument string 'django.template.defaulttags'.,add_to_builtins ( 'django.template.defaulttags' )
call the function add_to_builtins with an argument string 'django.template.defaultfilters'.,add_to_builtins ( 'django.template.defaultfilters' )
call the function add_to_builtins with an argument string 'django.template.loader_tags'.,add_to_builtins ( 'django.template.loader_tags' )
from copy import copy into default name space.,from copy import copy
from django.utils.module_loading import import_string into default name space.,from django . utils . module_loading import import_string
_standard_context_processors is None.,_standard_context_processors = None
_builtin_context_processors is a tuple containing a string 'django.core.context_processors.csrf'.,"_builtin_context_processors = ( 'django.core.context_processors.csrf' , )"
derive the class ContextPopException from the Exception base class.,class ContextPopException ( Exception ) :
do nothing.,pass
derive the class ContextDict from the dict base class.,class ContextDict ( dict ) :
"define the method __init__ with 4 arguments: self, context, unpacked list args and unpacked dictionary kwargs.","def __init__ ( self , context , * args , ** kwargs ) :"
"call the method __init__ from the base class of the class ContextDict, with 2 arguments: unpacked list args and unpacked dictionary kwargs.","super ( ContextDict , self ) . __init__ ( * args , ** kwargs )"
append self to context.dicts.,context . dicts . append ( self )
substitute context for self.context.,self . context = context
define the method __enter__ with an argument self.,def __enter__ ( self ) :
return self.,return self
"define the method __exit__ with 3 arguments: self, unpacked list args and unpacked dictionary kwargs.","def __exit__ ( self , * args , ** kwargs ) :"
remove the first element from the self.context.,self . context . pop ( )
derive the class BaseContext from the object base class.,class BaseContext ( object ) :
define the method __init__ with 2 arguments: self and dict_ set to None.,"def __init__ ( self , dict_ = None ) :"
call the method self._reset_dicts with an argument dict_.,self . _reset_dicts ( dict_ )
define the method _reset_dicts with 2 arguments: self and value set to None.,"def _reset_dicts ( self , value = None ) :"
"builtins is an dictionary with 3 initial entries: boolean True for 'True', boolean False for 'False' and None for 'None'.","builtins = { 'True' : True , 'False' : False , 'None' : None }"
self.dicts is an list with element builtins.,self . dicts = [ builtins ]
"if value is not None,",if value is not None :
append value to self.dicts list.,self . dicts . append ( value )
define the method __copy__ with an argument self.,def __copy__ ( self ) :
"call the function copy with an argument base class of the class BaseContext, substitute the result for duplicate.","duplicate = copy ( super ( BaseContext , self ) )"
hard copy list self.dicts to duplicate.dicts.,duplicate . dicts = self . dicts [ : ]
return duplicate.,return duplicate
define the method __repr__ with an argument self.,def __repr__ ( self ) :
return printable representation of self.dicts.,return repr ( self . dicts )
define the method __iter__ with an argument self.,def __iter__ ( self ) :
"for every d in reversed list self.dicts,",for d in reversed ( self . dicts ) :
yield d.,yield d
"define the method push with 3 arguments: self, unpacked list args and unpacked dictionary kwargs.","def push ( self , * args , ** kwargs ) :"
"instantiate class ContextDict with 3 arguments: self, unpacked list args and unpacked dictionary kwargs, return it.","return ContextDict ( self , * args , ** kwargs )"
define the method pop with an argument self.,def pop ( self ) :
"if length of self.dicts is equal to an integer 1,",if len ( self . dicts ) == 1 :
raise an ContextPopException.,raise ContextPopException
"call the method self.dicts.pop, return the result.",return self . dicts . pop ( )
"define the method __setitem__ with 3 arguments: self, key and value.","def __setitem__ ( self , key , value ) :"
substitute value for value under the key key of dictionary at last element of self.dicts.,self . dicts [ - 1 ] [ key ] = value
define the method __getitem__ with 2 arguments: self and key.,"def __getitem__ ( self , key ) :"
"for every d in reversed list self.dicts,",for d in reversed ( self . dicts ) :
"if key is contained in d,",if key in d :
return value under the key key of d dictionary.,return d [ key ]
raise KeyError exception with an argument key.,raise KeyError ( key )
define the method __delitem__ with 2 arguments: self and key.,"def __delitem__ ( self , key ) :"
delete value under the key key of dictionary at last element of self.dicts.,del self . dicts [ - 1 ] [ key ]
define the method has_key with 2 arguments: self and key.,"def has_key ( self , key ) :"
"for every d in self.dicts,",for d in self . dicts :
"if key is contained in d,",if key in d :
return boolean True.,return True
return boolean False.,return False
define the method __contains__ with 2 arguments: self and key.,"def __contains__ ( self , key ) :"
"call the method self.has_key with an argument key, return the result.",return self . has_key ( key )
"define the method got with 3 arguments: self, key and otherwise set to None.","def get ( self , key , otherwise = None ) :"
"for every d in reversed list self.dicts,",for d in reversed ( self . dicts ) :
"if key is contained in d,",if key in d :
return value under the key key of d dictionary.,return d [ key ]
return otherwise.,return otherwise
define the method new with 2 arguments: self and values set to None.,"def new ( self , values = None ) :"
"call the function copy with an argument self, substitute the result for new_context.",new_context = copy ( self )
call the method new_context._reset_dicts values.,new_context . _reset_dicts ( values )
return new_context.,return new_context
define the method flatten with an argument self.,def flatten ( self ) :
"flat is an empty dictionary,",flat = { }
"for every d in self.dicts,",for d in self . dicts :
update flat dictionary with d.,flat . update ( d )
return flat.,return flat
define the method __eq__ with 2 arguments: self and other.,"def __eq__ ( self , other ) :"
"if other is an instance of BaseContext class,","if isinstance ( other , BaseContext ) :"
"call the flatten method of the self and other objects, if they are equal, return boolean True, if not return boolean False.",return self . flatten ( ) == other . flatten ( )
return boolean False.,return False
derive the class Context from the BaseContext base class.,class Context ( BaseContext ) :
"define the method __init__ with 6 arguments: self, dict_ set to None, autoescape set to True, current_app set to None,","def __init__ ( self , dict_ = None , autoescape = True , current_app = None , use_l10n = None , use_tz = None ) :"
use_l10n set to None and use_tz set to None. substitute autoescape for self.autoescape.,self . autoescape = autoescape
substitute current_app for self.current_app.,self . current_app = current_app
substitute use_l10n for self.use_l10n.,self . use_l10n = use_l10n
substitute use_tz for self.use_tz.,self . use_tz = use_tz
self.render_context is a instance of RenderContext class.,self . render_context = RenderContext ( )
call the the method __init__ from the base class of the class Context.,"super ( Context , self ) . __init__ ( dict_ )"
define the method __copy__ with an argument self.,def __copy__ ( self ) :
"call the the method __copy__ from the base class of the class Context, substitute the result for duplicate.","duplicate = super ( Context , self ) . __copy__ ( )"
"call the function copy with an argument self.render_context, substitute the result for duplicate.render_context.",duplicate . render_context = copy ( self . render_context )
return duplicate,return duplicate
define the method update with 2 arguments: self and other_dict.,"def update ( self , other_dict ) :"
"if other_dict doesnt have an '__getitem__' attribute,","if not hasattr ( other_dict , '__getitem__' ) :"
raise an TypeError exception with an argument string 'other_dict must be a mapping (dictionary-like) object.'.,raise TypeError ( 'other_dict must be a mapping (dictionary-like) object.' )
append other_dict to self.dicts.,self . dicts . append ( other_dict )
return other_dict.,return other_dict
derive the class RenderContext from the BaseContext base class.,class RenderContext ( BaseContext ) :
define the method __iter__ with an argument self.,def __iter__ ( self ) :
"for every d in last element of self.dicts,",for d in self . dicts [ - 1 ] :
yield d.,yield d
define the method has_key with 2 arguments: self and key.,"def has_key ( self , key ) :"
"if key is contained in last element of self.dicts, return boolean True, otherwise return boolean False.",return key in self . dicts [ - 1 ]
"define the method get with 3 arguments: self, key and otherwise set to None.","def get ( self , key , otherwise = None ) :"
"return value under the key key of dictionary in last element of self.dicts,","return self . dicts [ - 1 ] . get ( key , otherwise )"
if it doesnt exists return otherwise. define the method __getitem__ with 2 arguments: self and key.,"def __getitem__ ( self , key ) :"
return value under the key key of dictionary in last element of self.dicts.,return self . dicts [ - 1 ] [ key ]
define the function get_standard_processors.,def get_standard_processors ( ) :
from django.conf import settings into default namespace.,from django . conf import settings
use global variable _standard_context_processors.,global _standard_context_processors
