,nl,code
7326,nodelist.contains_nontext is boolean True.,nodelist . contains_nontext = True
7327,call the self.close method.,self . close ( )
7328,"join self.dirpath and thefile in a string, substitute the result for work_file.","work_file = os . path . join ( self . dirpath , thefile )"
7329,"call the function data with 3 arguments: d.year, d.month and d.day, return the result.","return date ( d . year , d . month , d . day )"
7330,"concatenate CheckCommand.help to string 'Deprecated. Use ""check"" command instead. ', substitute it for help.","help = 'Deprecated. Use ""check"" command instead. ' + CheckCommand . help"
7331,"if lookup is false,",if not lookup :
7332,"call the function compile_string with 2 arguments: template_string and origin, substitute the result for self.nodelist.","self . nodelist = compile_string ( template_string , origin )"
7333,"call the function now.replace with microseconds set to integer 0, substitute the result for now.",now = now . replace ( microsecond = 0 )
7334,"for every event and node in self.event_stream,","for event , node in self . event_stream :"
7335,from django.utils import six into default name space.,from django . utils import six
7336,"call the method app_list.setdefault with 2 arguments app_config and an empty list, substitute the result for app_list_value.","app_list_value = app_list . setdefault ( app_config , [ ] )"
7337,return qs.,return qs
7338,if self._fname is None:,if self . _fname is None :
7339,"if it is smaller than the value of dictionary kwargs under the key 'max_age', substitute kwargs value under the key 'max-age' by it. if cc contains item 'private' and kwargs contains item 'public',",if 'private' in cc and 'public' in kwargs :
7340,if number is an instance of int type.,"if isinstance ( number , int ) :"
7341,"if failures is true,",if failures :
7342,"call the method self._cache.set_multi with safe_data, self.get_backend_timeout(timeout) as arguments.","self . _cache . set_multi ( safe_data , self . get_backend_timeout ( timeout ) )"
7343,raise an NotImplementedError with an argument string 'subclasses of SyndicationFeed must provide a write() method'.,raise NotImplementedError ( 'subclasses of SyndicationFeed must provide a write() method' )
7344,append ':' and ipv4_address to result.,result += ':' + ipv4_address
7345,return nothing.,return
7346,"for every app_config in reversed list created out of the return value of the function apps.get_app_configs,",for app_config in reversed ( list ( apps . get_app_configs ( ) ) ) :
7347,raise an exception.,raise
7348,code set to an string 'invalid_choice' and dictionary params with an entry: choice for 'value'. return new_value.,return new_value
7349,"try,",try :
7350,"if template_dirs is true,",if template_dirs :
7351,define the method __next__ with an argument self.,def __next__ ( self ) :
7352,"convert self.option_list into a boolean, return the inverted value.",return not bool ( self . option_list )
7353,call the method parser.delete_first_token.,parser . delete_first_token ( )
7354,"if elt is an instance of Choice or NonCapture classes,","if isinstance ( elt , ( Choice , NonCapture ) ) :"
7355,"open new_path file in 'wb' mode, with file descriptor renamed to new_file,","with open ( new_path , 'wb' ) as new_file :"
7356,"if KeyError exception is caught,",except KeyError :
7357,substitute list with an element block_name for parser.__loaded_blocks.,parser . __loaded_blocks = [ block_name ]
7358,"get 'widgets' attribute from the options object, if it exists substitute it for self.widgets, if not self.widgets is None.","self . widgets = getattr ( options , 'widgets' , None )"
7359,"call the function factory with an argument unpacked dictionary kwargs, substitute the result for result.",result = factory ( ** kwargs )
7360,define the method __iter__ with an argument self.,def __iter__ ( self ) :
7361,from django.utils import six into default name space.,from django . utils import six
7362,"call the method self.create_token with 3 arguments: self.template_string list elements from upto index to start index,","result . append ( self . create_token ( self . template_string [ upto : start ] , ( upto , start ) , False ) )"
7363,"from .registry import register, run_checks, tag_exists and Tags into default name space.","from . registry import register , run_checks , tag_exists , Tags"
7364,"define the method __init__ with arguments self, name, value, base, sysid, pubid and notation_name.","def __init__ ( self , name , value , base , sysid , pubid , notation_name ) :"
7365,"and var_arg, respectively. if constant_arg is true,",if constant_arg :
7366,nodelist_false is an instance of NodeList.,nodelist_false = NodeList ( )
7367,"convert lang_string to lowercase, split by the result string accept_language_re, substitute the result for pieces.",pieces = accept_language_re . split ( lang_string . lower ( ) )
7368,"days is a tuple with 7 elements: strings 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat' and 'Sun'.","days = ( 'Mon' , 'Tue' , 'Wed' , 'Thu' , 'Fri' , 'Sat' , 'Sun' )"
7369,raise an TemplateSyntaxError exception with an argument error_msg.,raise TemplateSyntaxError ( error_msg )
7370,__all__ is an list containing string 'SelectDateWidget'.,__all__ = [ 'SelectDateWidget' ]
7371,"if first element of sys.version_info equals integer 3, PY3 is boolean True, otherwise it is boolean False.",PY3 = sys . version_info [ 0 ] == 3
7372,"call the method token.split_contents, substitute the result for bits.",bits = token . split_contents ( )
7373,"if self_closing is true or tagname is contained in html4_singlets,",if self_closing or tagname in html4_singlets :
7374,"try,",try :
7375,return value.,return value
7376,"widgets is a tuple with 2 elements: instance of DateInput class, created with 2 arguments: attrs as attrs and format as date_format,","widgets = ( DateInput ( attrs = attrs , format = date_format ) , TimeInput ( attrs = attrs , format = time_format ) )"
7377,define the method __init__ with 2 arguments: self and format_string.,"def __init__ ( self , format_string ) :"
7378,"call the method parser.parse_args with an argument args set to args, substitute the result for defaults.",defaults = parser . parse_args ( args = args )
7379,"slots is a list with an element, slots.",slots = [ slots ]
7380,call the method self.xml.startElement with argument string 'object' and an empty dictionary.,"self . xml . startElement ( ""object"" , { } )"
7381,"raise an exception of class NotImplementedError, with string 'subclasses of BaseCache must provide a delete() method' as argument.",raise NotImplementedError ( 'subclasses of BaseCache must provide a delete() method' )
7382,return integer 12.,return 12
7383,define the function urlquote_plus with 2 arguments: url and safe set to an empty string.,"def urlquote_plus ( url , safe = '' ) :"
7384,"call the method cursor.execute with string ""UPDATE %s SET value = %%s, expires = %%s WHERE cache_key = %%s"" as argument,","cursor . execute ( ""UPDATE %s SET value = %%s, expires = %%s "" ""WHERE cache_key = %%s"" % table , [ b64encoded , exp , key ] )"
7385,import module calendar.,import calendar
7386,raise an ValidationError exception with an argument errors.,raise ValidationError ( errors )
7387,"if middleware has an attribute 'process_response',","if hasattr ( middleware , 'process_response' ) :"
7388,define the serialize content with an argument self.,def serialize ( self ) :
7389,if settings.USE_X_FORWARDED_HOST is true and 'HTTP_X_FORWARDED_HOST' is contained in self.META.,if settings . USE_X_FORWARDED_HOST and ( 'HTTP_X_FORWARDED_HOST' in self . META ) :
7390,derive the class IfEqualNode from Node base class.,class IfEqualNode ( Node ) :
7391,"call the method self.open, substitute the result for stream_created.",stream_created = self . open ( )
7392,"call the function get_wsgi_application, return the result.",return get_wsgi_application ( )
7393,"if delta is smaller than integer 0,",if delta < 0 :
7394,"if not,",else :
7395,call the os.umask function with argument old_umask.,os . umask ( old_umask )
7396,"if instance is None,",if instance is None :
7397,asvar is None.,asvar = None
7398,"call the method qs.values_list with 2 arguments: string 'pk' and flat set to boolean True, put the results in a list,","data [ f . name ] = list ( qs . values_list ( 'pk' , flat = True ) )"
7399,"evaluate the function smart_text with argument self.name, if exists, or an empty string, if not, return the result.",return smart_text ( self . name or '' )
7400,"if format is not contained in return value of the method serializers.get_public_serializer_formats,",if format not in serializers . get_public_serializer_formats ( ) :
7401,sets the role attribute of the style object to the value of the call to the termcolors.make_style function with dictionary format as an argument.,"setattr ( style , role , termcolors . make_style ( ** format ) )"
7402,"if index is lesser than integer 0,",if index < 0 :
7403,"if not,",else :
7404,return media.,return media
7405,"if self doesnt have an '_body' attribute,","if not hasattr ( self , '_body' ) :"
7406,"choice and i, substitute the result for w. call the function format_html with 3 arguments: self.inner_html, choice_value set to result of the function force_text,","output . append ( format_html ( self . inner_html , choice_value = force_text ( w ) , sub_widgets = '' ) )"
7407,return input_val.,return input_val
7408,"get config dictionary element under 'loggers' key, if it exists substitute it for loggers, if not, loggers is EMPTY_DICT.","loggers = config . get ( 'loggers' , EMPTY_DICT )"
7409,"if help_texts is not None,",if help_texts is not None :
7410,define the method write with 2 arguments: self and s.,"def write ( self , s ) :"
7411,call the method handler.addQuickElement with 2 arguments: string 'rights' and value under the 'feed_copyright' key of the self.feed dictionary.,"handler . addQuickElement ( ""rights"" , self . feed [ 'feed_copyright' ] )"
7412,"call the self.to_python method with an argument value, strip the result of the whitespaces from the sides, substitute the result for value.",value = self . to_python ( value ) . strip ( )
7413,substitute value under the name key of the lib.filters dictionary for value under the name key of the temp_lib.filters dictionary.,temp_lib . filters [ name ] = lib . filters [ name ]
7414,define the function to_language with an argument locale.,def to_language ( locale ) :
7415,return nothing.,return
7416,found is boolean True.,found = True
7417,"try,",try :
7418,"get field.name from the obj, substitute it for related.","related = getattr ( obj , field . name )"
7419,"multiply seconds by count, subtract it from since, divide the result by seconds2, store the floored result in count2.",count2 = ( since - ( seconds * count ) ) // seconds2
7420,"for every e in errors convert e into a string and append it to a string ' * ',",output . append ( '\n' . join ( ' * %s' % e for e in errors ) )
7421,return value.,return value
7422,derive the class DebugLexer from the Lexer base class.,class DebugLexer ( Lexer ) :
7423,"from email.utils import formatdate, getaddresses, formataddr and parseaddr into default name space.","from email . utils import formatdate , getaddresses , formataddr , parseaddr"
7424,substitute value under the number key of the rhs dictionary for number_value.,number_value = rhs [ number ]
7425,"from django.core.exceptions import MiddlewareNotUsed, PermissionDenied and SuspiciousOperation into default name space.","from django . core . exceptions import MiddlewareNotUsed , PermissionDenied , SuspiciousOperation"
7426,"if ending is true and msg doesnt end with ending,",if ending and not msg . endswith ( ending ) :
7427,"try,",try :
7428,"otherwise if o is an instance of decimal.Decimal object,","elif isinstance ( o , decimal . Decimal ) :"
7429,and elements of rfcdate from 12-th to the 25-th index. define the function http_date with an argument epoch_seconds set to None.,def http_date ( epoch_seconds = None ) :
7430,"if truncate_text is true,",if truncate_text :
7431,yield self.,yield self
7432,substitute kwargs for self.kwargs.,self . kwargs = kwargs
7433,"if data is true, substitute list created from elements of data, substitute it for self.keyOrder, otherwise self.keyOrder is an empty list.",self . keyOrder = list ( data ) if data else [ ]
7434,"substitute string "" "" for space.","space = "" """
7435,"set the attribute name from value under the DEFAULT_CACHE_ALIAS key of caches dictionary to value, return it.","return setattr ( caches [ DEFAULT_CACHE_ALIAS ] , name , value )"
7436,do nothing.,pass
7437,"try,",try :
7438,"try,",try :
7439,"call the __call__ method from the base class of the URLValidator class, with an argument url.","super ( URLValidator , self ) . __call__ ( url )"
7440,"get the value under self._pk_field.name key of form._meta.widgets dictionary, if it exists substitute it for widget, if not,","widget = form . _meta . widgets . get ( self . _pk_field . name , HiddenInput )"
7441,"define the function sql_custom with 3 arguments: app_config, style and connection.","def sql_custom ( app_config , style , connection ) :"
7442,"raise an ImproperlyConfigured exception with an argument string ""Error importing template source loader %s - can't pass arguments to","raise ImproperlyConfigured ( ""Error importing template source loader %s - can't pass arguments to function-based loader."" % loader )"
7443,substitute ClearableFileInput for widget.,widget = ClearableFileInput
7444,import module locale.,import locale
7445,substitute value for the value under the key key of self._cache dictionary.,self . _cache [ key ] = value
7446,"all the function fcntl.flock with return value of the _fd(f) function and fcntl.LOCK_UN as arguments, substitute the result for ret.","ret = fcntl . flock ( _fd ( f ) , fcntl . LOCK_UN )"
7447,"if self._encoding is None,",if self . _encoding is None :
7448,define the method clean with an argument self.,def clean ( self ) :
7449,"call the function converter with an argument suffix, substitute the result for value.",value = converter ( suffix )
7450,increment piece by firs element of elt.,piece += elt [ 0 ]
7451,"call the function pgettext_lazy with an argument self.message_context and value, return the result.","return pgettext_lazy ( self . message_context , value )"
7452,raise an MultiPartParserError with an argument string 'multipartparser.exhaust() was passed a non-iterable or stream parameter'.,raise MultiPartParserError ( 'multipartparser.exhaust() was passed a non-iterable or stream parameter' )
7453,"define the method __init__ with 4 arguments: self, name, nodelist, parent set to None.","def __init__ ( self , name , nodelist , parent = None ) :"
7454,"if kwargs is true,",if kwargs :
7455,"if os.name equals string 'nt',",if os . name == 'nt' :
7456,"convert base to lowercase, if it ends with string '.tar',",if base . lower ( ) . endswith ( '.tar' ) :
7457,from subprocess import PIPE and Popen into default name space.,"from subprocess import PIPE , Popen"
7458,"call the function _ with an argument string '(Hidden field %(name)s) %(error)s', where '%(name)s' is replaced with name,","top_errors . extend ( [ _ ( '(Hidden field %(name)s) %(error)s' ) % { 'name' : name , 'error' : force_text ( e ) } for e in bf_errors ] )"
7459,"define the method push with 3 arguments: self, unpacked list args and unpacked dictionary kwargs.","def push ( self , * args , ** kwargs ) :"
7460,"append name to string 'add_' use it as the name of the attribute to get from object self, call the result as an function,","getattr ( self , 'add_' + name ) ( media_attrs . get ( name , None ) )"
7461,"yield string ""# This is an auto-generated Django model module."" as the result.","yield ""# This is an auto-generated Django model module."""
7462,"assign integer 2 to parts if third element of version equals to zero, otherwise assign it integer 3.",parts = 2 if version [ 2 ] == 0 else 3
7463,"RemovedInDjango19Warning, stacklevel set to integer 2. for field_name every obj in list created from the elements of the return value of the function six.iteritems with an argument attrs.","fields = [ ( field_name , attrs . pop ( field_name ) ) for field_name , obj in list ( six . iteritems ( attrs ) ) if isinstance ( obj , Field ) ]"
7464,define the mehod __lt__ with self and other.,"def __lt__ ( self , other ) :"
7465,"if next_item is true and next_item is an instance of list or tuple type,","if next_item and isinstance ( next_item , ( list , tuple ) ) :"
7466,call the method test_runner_class.add_arguments with an argument parser.,test_runner_class . add_arguments ( parser )
7467,call the sys.stderr.write function with an argument msg.,sys . stderr . write ( msg )
7468,"call the method formfield.queryset.complex_filter with an argument limit_choices_to, substitute the result for formfield.queryset.",formfield . queryset = formfield . queryset . complex_filter ( limit_choices_to )
7469,substitute self.min_value for the value under the 'min' key of the attrs dictionary.,attrs [ 'min' ] = self . min_value
7470,return None.,return None
7471,define the method delete_first_token with an argument self.,def delete_first_token ( self ) :
7472,"call the method self.path with argument name, substitute the result for full_path.",full_path = self . path ( name )
7473,"sub_ul_renderer is an instance of ChoiceFieldRenderer class, created with 4 arguments: name as self.name, value as self.value,","sub_ul_renderer = ChoiceFieldRenderer ( name = self . name , value = self . value , attrs = attrs_plus , choices = choice_label )"
7474,self.to is an empty list.,self . to = [ ]
7475,raise an ValidationError with 2 arguments: value under the 'invalid' key of the self.error_messages dictionary and code set to 'invalid'.,"raise ValidationError ( self . error_messages [ 'invalid' ] , code = 'invalid' )"
7476,call the function self.tag with 2 arguments: function_name and compile_func.,"self . tag ( function_name , compile_func )"
7477,"if Exception, renamed to e, exception is caught,",except Exception as e :
7478,"convert result of the method self.__iter__ into a list, return its length.",return len ( list ( self . __iter__ ( ) ) )
7479,derive the class _OFFSET_UNION from the Union base class.,class _OFFSET_UNION ( Union ) :
7480,"if p_pattern starts with a string '^',",if p_pattern . startswith ( '^' ) :
7481,derive class Command from the base class AppCommand.,class Command ( AppCommand ) :
7482,and result of the method self.__getstate__. define the method __deepcopy__ with 2 arguments self and memo.,"def __deepcopy__ ( self , memo ) :"
7483,"substitute '%s' in a string "" Branch %s"" with migration.name,","self . stdout . write ( self . style . MIGRATE_LABEL ( "" Branch %s"" % migration . name ) )"
7484,substitute timeout for self.default_timeout.,self . default_timeout = timeout
7485,define the function parse_boundary_stream with arguments stream and max_header_size.,"def parse_boundary_stream ( stream , max_header_size ) :"
7486,"default_error_messages is an dictionary with 2 entries: return value of the function _ called with an argument string,","default_error_messages = { 'invalid' : _ ( 'Enter a list of values.' ) , 'incomplete' : _ ( 'Enter a complete value.' ) , }"
7487,substitute length of list_ for list_length.,list_length = len ( list_ )
7488,"get the value under the 'incomplete' key of the field.error_messages dictionary, append it to errors.",errors . append ( field . error_messages [ 'incomplete' ] )
7489,define the method is_hidden with an argument self.,def is_hidden ( self ) :
7490,"get the value under the 'no_obsolete' key of the options dictionary, substitute it for self.no_obsolete.",self . no_obsolete = options . get ( 'no_obsolete' )
7491,append x converted to an integer to bits.,bits . append ( int ( x ) )
7492,"call the method Field.__init__ with 8 arguments: self, required, widget, label, initial, help_text, unpacked list args,","Field . __init__ ( self , required , widget , label , initial , help_text , * args , ** kwargs )"
7493,"call the method self.as_widget with 3 arguments: instance of a class TextInput, attrs and unpacked dictionary kwargs, return the result.","return self . as_widget ( TextInput ( ) , attrs , ** kwargs )"
7494,"call the function _resolve_name with 3 arguments: name list elements from the level index to the end, package and level,","name = _resolve_name ( name [ level : ] , package , level )"
7495,"use the app_config, style and connection as arguments for the call to the sql_create, sql_custom and sql_indexes functions, append the results respectively, return the result.","return sql_create ( app_config , style , connection ) + sql_custom ( app_config , style , connection ) + sql_indexes ( app_config , style , connection )"
7496,call the method base64.urlsafe_b64decode with sum of s and pad as argument.,return base64 . urlsafe_b64decode ( s + pad )
7497,"get _assertRegex attribute of the self object, call the result with 2 arguments: unpacked list args,","return getattr ( self , _assertRegex ) ( * args , ** kwargs )"
7498,"call the method handler.startElement with 2 arguments: string ""item"" and result of the method self.item_attributes with an argument item.","handler . startElement ( 'item' , self . item_attributes ( item ) )"
7499,decorator decorator.,@ decorator
7500,"get 'clean_%s', where '%s' is replaced with name' attribute of the self object, call the result as an function,","value = getattr ( self , 'clean_%s' % name ) ( )"
7501,"if not,",else :
7502,import module tarfile.,import tarfile
7503,ch is None.,ch = None
7504,"call the __init__ method from the base class of the WSGIRequestHandler class, with 2 arguments: unpacked list args and unpacked dictionary kwargs.","super ( WSGIRequestHandler , self ) . __init__ ( * args , ** kwargs )"
7505,define the method delete with arguments self and name.,"def delete ( self , name ) :"
7506,"call the method to_python with an argument value, from the base class of the IntegerField class, substitute the result for value.","value = super ( IntegerField , self ) . to_python ( value )"
7507,"call the method formats.get_format_lazy with an argument string 'DATETIME_INPUT_FORMATS', substitute the result for input_formats.",input_formats = formats . get_format_lazy ( 'DATETIME_INPUT_FORMATS' )
7508,cc is an empty dictionary.,cc = { }
7509,"format truncate with a dictionary with an element: text for 'truncated_text', return the result.",return truncate % { 'truncated_text' : text }
7510,input_type is a string 'radio'.,input_type = 'radio'
7511,"call the method copy.copy with an argument self, substitute the result for result.",result = copy . copy ( self )
7512,"if not,",else :
7513,"and self.format_string, return the result. derive the class SpacelessNode from Node base class.",class SpacelessNode ( Node ) :
7514,"try,",try :
7515,"call the method self._reverse_with_prefix with 4 arguments: lookup_view, an empty string, unpacked list args and unpacked dictionary kwargs.","return self . _reverse_with_prefix ( lookup_view , '' , * args , ** kwargs )"
7516,"try,",try :
7517,"return an instance of a class WidthRatioNode, created with 4 arguments: result of the method parser.compile_filter,","return WidthRatioNode ( parser . compile_filter ( this_value_expr ) , parser . compile_filter ( max_value_expr ) , parser . compile_filter ( max_width ) , asvar = asvar )"
7518,derive the class NumberAwareString from the resultclass base class.,class NumberAwareString ( resultclass ) :
7519,"if value is false or value is not an instance of list or tuple types,","if not value or isinstance ( value , ( list , tuple ) ) :"
7520,"and third element of the return value of the function sys.exc_info. if inhibit_post_migrate is false,",if not inhibit_post_migrate :
7521,I18N_MODIFIED is integer 2,I18N_MODIFIED = 2
7522,substitute EscapeBytes for EscapeString.,EscapeString = EscapeBytes
7523,"define delete method with self class instance, key and version set to None, as arguments.","def delete ( self , key , version = None ) :"
7524,"if arg is true,",if arg :
7525,"if ImportError exception occurred,",except ImportError :
7526,"try,",try :
7527,"call the __init__ method from the base class of the SimpleUploadedFile class with 7 arguments: BytesIO(content), None, name,","super ( SimpleUploadedFile , self ) . __init__ ( BytesIO ( content ) , None , name , content_type , len ( content ) , None , None )"
7528,call the method self._stream.unget with an argument unused_char.,self . _stream . unget ( unused_char )
7529,return new_class.,return new_class
7530,"string 'Ensure this value has at least %(limit_value)d characters (it has %(show_value)d).' and string 'limit_value', substitute the result for message. code is a string 'min_length'",code = 'min_length'
7531,"call the method cursor.execute with string ""DELETE FROM %s"" as argument, substitute the '%s' with table.",cursor . execute ( 'DELETE FROM %s' % table )
7532,define the method _add_fallback with an argument self.,def _add_fallback ( self ) :
7533,"endless loop,",while 1 :
7534,"if not,",else :
7535,"if option_value is contained in selected_choices,",if option_value in selected_choices :
7536,"convert name to lower case, if it is contained in ADDRESS_HEADERS,s",if name . lower ( ) in ADDRESS_HEADERS :
7537,substitute post for self._post.,self . _post = post
7538,"if not,",else :
7539,from collections import OrderedDict into default name space.,from collections import OrderedDict
7540,"match value string with regex self.CONVERT_PATTERN, substitute the result for m.",m = self . CONVERT_PATTERN . match ( value )
7541,"raise an BadSignature exception with an argument string 'Signature ""%s"" does not match', where '%s' is replaced by sig.","raise BadSignature ( 'Signature ""%s"" does not match' % sig )"
7542,"call the method pattern.resolve with an argument new_path, substitute the result for sub_match.",sub_match = pattern . resolve ( new_path )
7543,"raise an CommandError exception with an argument string ""you must provide %s %s name"", where '%s' is replaced with string 'an',","raise CommandError ( ""you must provide %s %s name"" % ( ""an"" if app_or_project == ""app"" else ""a"" , app_or_project ) )"
7544,import module binascii.,import binascii
7545,"if message-id' is not in header_names,",if 'message-id' not in header_names :
7546,"call the function func with 2 arguments: unpacked list self.__args and unpacked dictionary self.__kw,","return bytes ( func ( * self . __args , ** self . __kw ) )"
7547,"tok is a string '""REGEX""',","tok = '""REGEX""'"
7548,"call the method node.getAttribute with an argument string 'pk', use the result as the argument for the call to the method, Model._meta.pk.to_python with, substitute the result for value under the Model._meta.pk.attname key of the data dictionary.",data [ Model . _meta . pk . attname ] = Model . _meta . pk . to_python ( node . getAttribute ( 'pk' ) )
7549,"if pattern.namespace is true,",if pattern . namespace :
7550,"append string "" The domain name provided is not valid according to RFC 1034/1035."" to msg.","msg += "" The domain name provided is not valid according to RFC 1034/1035."""
7551,"for every ch and escaped in input_iter,","for ch , escaped in input_iter :"
7552,"define the method __init__ with 5 arguments: self, val_expr, max_expr, max_width and asvar set to None.","def __init__ ( self , val_expr , max_expr , max_width , asvar = None ) :"
7553,return decorating_function.,return decorating_function
7554,"convert idx to an integer, substitute it or n.",n = int ( idx )
7555,"get the values under the keys 'app_label' and 'migration_name' of the options dictionary, substitute the results for app_label and migration_name, respectively.","app_label , migration_name = options [ 'app_label' ] , options [ 'migration_name' ]"
7556,"if stream_created is true,",if stream_created :
7557,"for every f in opts.local_fields,",for f in opts . local_fields :
7558,initial is an empty list.,initial = [ ]
7559,code is a string 'max_value',code = 'max_value'
7560,"if ImportError, IndentationError, NameError, SyntaxError, TypeError or AttributeErrorexception is caught,","except ( ImportError , IndentationError , NameError , SyntaxError , TypeError , AttributeError ) :"
7561,"call the function curry with 2 arguments: _proxy_method and method set to bytes.decode, substitute the result for decode.","decode = curry ( _proxy_method , method = bytes . decode )"
7562,split is an empty list.,split = [ ]
7563,"substitute the result for last element of output. if not,",else :
7564,"if not,",else :
7565,"if _urlconfs has an attribute 'value',","if hasattr ( _urlconfs , ""value"" ) :"
7566,"import_module called with an argument parentmod and submod, evaluates to false. raise an ViewDoesNotExist exception with an argument string ""Could not import '%s'. Parent module %s does not exist."",","raise ViewDoesNotExist ( ""Could not import '%s'. Parent module %s does not exist."" % ( lookup_view , mod_name ) )"
7567,"call the method field._has_changed with 2 arguments: return value of the function field.to_python called with an argument initial,","if field . _has_changed ( field . to_python ( initial ) , data ) :"
7568,"use the result as an argument for the call to the function strip_spaces_between_tags, return the result. derive the class TemplateTagNode from Node base class.",class TemplateTagNode ( Node ) :
7569,return Operator.,return Operator
7570,define the method to_python with arguments self and value.,"def to_python ( self , value ) :"
7571,derive the class VerbatimNode from Node base class.,class VerbatimNode ( Node ) :
7572,self._reverse_dict is an empty dictionary.,self . _reverse_dict = { }
7573,input_type is None.,input_type = None
7574,substitute old for self.mod.,self . mod = old
7575,"for every handler in self._upload_handlers,",for handler in self . _upload_handlers :
7576,define the function remove_move with an argument name.,def remove_move ( name ) :
7577,"find first index of occurrence of character '-' in locale, substitute it for p.",p = locale . find ( '_' )
7578,"define the method __init__ with 4 arguments: self, template, unpacked list args and unpacked dictionary kwargs.","def __init__ ( self , template , * args , ** kwargs ) :"
7579,"and '%s' is replaced with app_or_project and message, respectively. define the method download with arguments self and url.","def download ( self , url ) :"
7580,"property decorator,",@ property
7581,define the method __init__ with 2 arguments: self and name.,"def __init__ ( self , name ) :"
7582,"define the protected method _cull with self class instance, db, cursor and now as arguments.","def _cull ( self , db , cursor , now ) :"
7583,"substitute boolean_check for self.check_test if check_test is None, otherwise substitute check_test for self.check_test.",self . check_test = boolean_check if check_test is None else check_test
7584,return boolean True.,return True
7585,"use it as an argument for the call to the mark_safe function, return the result. define the method value_from_datadict with 4 arguments: self, data, files and name.","def value_from_datadict ( self , data , files , name ) :"
7586,"if eather of settings.USE_I18N or settings.USE_L10N is True, set is_accept_language_redundant to True.",is_accept_language_redundant = settings . USE_I18N or settings . USE_L10N
7587,"call the method kwarg_re.match with an argument first element of bits, substitute the result for match.",match = kwarg_re . match ( bits [ 0 ] )
7588,"append tuple containing 2 elements: k and v to a list, for every k and v in options, only if k starts with curr,","options = sorted ( ( k , v ) for k , v in options if k . startswith ( curr ) )"
7589,"if message is true,",if message :
7590,"define function smart_bytes with s, encoding set to string 'utf-8', strings_only set to False and errors set to string 'strict', as arguments.","def smart_bytes ( s , encoding = 'utf-8' , strings_only = False , errors = 'strict' ) :"
7591,"if form is contained in forms_to_delete,",if form in forms_to_delete :
7592,"if source is an instance of NonCapture class,","if isinstance ( source , NonCapture ) :"
7593,"if app_labels is false,",if not app_labels :
7594,substitute cls.__text_cast for cls.__str__.,cls . __str__ = cls . __text_cast
7595,close file_ file descriptor.,file_ . close ( )
7596,"call the method threading.Semaphore with an argument integer 0, substitute the result for self.can_read.",self . can_read = threading . Semaphore ( 0 )
7597,substitute chr for unichr.,unichr = chr
7598,return boolean True.,return True
7599,filters is an empty list.,filters = [ ]
7600,"and truncate set to string ' ...', return the result. decorator function register.filter with an argument is_safe set to boolean True.",@ register . filter ( is_safe = True )
7601,if t is not None,if t is not None :
7602,substitute jython_reloader for reloader.,reloader = jython_reloader
7603,"call the function ugettext with an argument string ""Please correct the duplicate data for %(field)s."",","return ugettext ( ""Please correct the duplicate data for %(field)s."" ) % { ""field"" : unique_check [ 0 ] , }"
7604,"for every model in app_models,",for model in app_models :
7605,"call the method token.split_contents, substitute the result for bits.",bits = token . split_contents ( )
7606,substitute file_name for self.file_name.,self . file_name = file_name
7607,define the function get_template with 2: template_name and dirs set to None.,"def get_template ( template_name , dirs = None ) :"
7608,"if limit_choices_to is callable object,",if callable ( limit_choices_to ) :
7609,return boolean False.,return False
7610,"call the function new_method_proxy with an argument str, substitute the result for __str__.",__str__ = new_method_proxy ( str )
7611,"call the method df.format with an argument format_string, return the result.",return df . format ( format_string )
7612,"if invalid_var_format_string is true,",if invalid_var_format_string :
7613,call the function add_to_builtins with an argument string 'django.template.defaulttags'.,add_to_builtins ( 'django.template.defaulttags' )
7614,derive class Command from the BaseCommand base class.,class Command ( BaseCommand ) :
7615,"if TemplateSyntaxError, replaced with e, exception is caught,",except TemplateSyntaxError as e :
7616,"if path is None,",if path is None :
7617,define the method __init__ with 2 arguments: self and filter_expression.,"def __init__ ( self , filter_expression ) :"
7618,"deifne the method __init__ with 5 arguments: self, class_name, old_method_name, new_method_name and deprecation_warning.","def __init__ ( self , class_name , old_method_name , new_method_name , deprecation_warning ) :"
7619,define the method _cull with argument self.,def _cull ( self ) :
7620,substitute _iteritems for iteritems.,iteritems = _iteritems
7621,"evaluate the function BytesIO with argument chunk, substitute it for chunk_buffer.",chunk_buffer = BytesIO ( chunk )
7622,define the method __call__ with 2 arguments: self and f.,"def __call__ ( self , f ) :"
7623,"if self.addr is false,",if not self . addr :
7624,and connection as the result of the method self.connection. define the connection with an argument self.,def connection ( self ) :
7625,"call the method params.get with 2 arguments, string 'KEY_FUNCTION' and None, use the result as the argument for the call to the function get_key_func, substitute the result for the self.key_func.","self . key_func = get_key_func ( params . get ( 'KEY_FUNCTION' , None ) )"
7626,define the method __init__ with 2 arguments self and dt.,"def __init__ ( self , dt ) :"
7627,"if not,",else :
7628,"define the __init__ method with 3 arguments: self, unpacked list args and unpacked dictionary **kwargs.","def __init__ ( self , * args , ** kwargs ) :"
7629,"if status is not equal to STATUS_OK,",if status != STATUS_OK :
7630,"f _serializers is false,",if not _serializers :
7631,"define the function find_command with 3 arguments: cmd, path set to None and pathext set to None.","def find_command ( cmd , path = None , pathext = None ) :"
7632,derive the class Atom1Feed from the SyndicationFeed base class.,class Atom1Feed ( SyndicationFeed ) :
